## SHO Potential w bump function 10*(exp(-5*(x**2))) 
##k                   EV1             EV2            EV3            EV4            EV5
2.80000138       0.02804733     0.02931070     0.11851683     -0.12544417    0.17106735
2.90000129       0.02213962     0.02316830     0.10280501     -0.10935546    0.17222603
3.00000119       0.01727285     0.01809896     0.08769347     -0.09371215    0.16771602
3.10000110       0.01332063     0.01397519     0.07361024     -0.07900204    0.15866524
3.20000100       0.01015542     0.01066729     0.06083865     -0.06555983    0.14627810
3.30000091       0.00765464     0.00804982     0.04953438     -0.05358265    0.13172977
3.40000081       0.00570484     0.00600610     0.03974708     -0.04315137    0.11608615
3.50000072       0.00420425     0.00443107     0.03144389     -0.03425467    0.10025124
3.60000062       0.00306400     0.00323270     0.02453244     -0.02681322    0.08494034
3.70000052       0.00220839     0.00233235     0.01888178     -0.02070205    0.07067499
3.80000043       0.00157425     0.00166426     0.01434013     -0.01576989    0.05779492
3.90000033       0.00110995     0.00117454     0.01074903     -0.01185491    0.04648118
4.00000048       0.00077409     0.00081990     0.00795388     -0.00879658    0.03678556
4.10000038       0.00053402     0.00056614     0.00581114     -0.00644406    0.02866193
4.20000029       0.00036444     0.00038669     0.00419265     -0.00466132    0.02199625
4.30000019       0.00024603     0.00026128     0.00298762     -0.00332989    0.01663303
4.40000010       0.00016432     0.00017465     0.00210295     -0.00234955    0.01239708
4.50000000       0.00010858     0.00011550     0.00146236     -0.00163768    0.00911006
4.59999990       0.00007098     0.00007557     0.00100474     -0.00112775    0.00660226
4.69999981       0.00004591     0.00004892     0.00068213     -0.00076734    0.00471995
4.79999971       0.00002938     0.00003133     0.00045765     -0.00051593    0.00332927
4.89999962       0.00001860     0.00001985     0.00030346     -0.00034282    0.00231746
4.99999952       0.00001166     0.00001245     0.00019889     -0.00022514    0.00159223
5.09999943       0.00000723     0.00000772     0.00012884     -0.00014614    0.00107993
5.19999933       0.00000443     0.00000474     0.00008251     -0.00009377    0.00072319
5.29999924       0.00000269     0.00000288     0.00005224     -0.00005948    0.00047822
5.39999914       0.00000162     0.00000173     0.00003270     -0.00003730    0.00031231
5.49999905       0.00000096     0.00000103     0.00002024     -0.00002313    0.00020145
5.59999895       0.00000057     0.00000061     0.00001238     -0.00001418    0.00012836
5.69999886       0.00000033     0.00000035     0.00000749     -0.00000859    0.00008080
5.79999876       0.00000019     0.00000020     0.00000448     -0.00000515    0.00005025
5.89999866       0.00000011     0.00000012     0.00000265     -0.00000305    0.00003088
5.99999857       0.00000006     0.00000007     0.00000155     -0.00000179    0.00001875
6.09999847       0.00000003     0.00000004     0.00000090     -0.00000104    0.00001125
6.19999838       0.00000002     0.00000002     0.00000051     -0.00000059    0.00000667
6.29999828       0.00000001     0.00000001     0.00000029     -0.00000034    0.00000391
6.39999819       0.00000001     0.00000001     0.00000016     -0.00000019    0.00000227
6.49999809       0.00000000     0.00000000     0.00000009     -0.00000010    0.00000130
6.59999800       0.00000000     0.00000000     0.00000005     -0.00000006    0.00000073
6.69999790       0.00000000     0.00000000     0.00000003     -0.00000003    0.00000041
6.79999781       0.00000000     0.00000000     0.00000001     -0.00000002    0.00000023
6.89999771       0.00000000     0.00000000     0.00000001     -0.00000001    0.00000012
6.99999762       0.00000000     0.00000000     0.00000000     -0.00000000    0.00000007
7.09999752       0.00000000     0.00000000     0.00000000     -0.00000000    0.00000004
7.19999743       0.00000000     0.00000000     0.00000000     -0.00000000    0.00000002
7.29999733       0.00000000     0.00000000     0.00000000     -0.00000000    0.00000001
7.39999723       0.00000000     0.00000000     0.00000000     -0.00000000    0.00000001
7.49999714       0.00000000     0.00000000     0.00000000     -0.00000000    0.00000000
7.59999704       0.00000000     0.00000000     0.00000000     -0.00000000    0.00000000
7.69999695       0.00000000     0.00000000     0.00000000     -0.00000000    0.00000000
7.79999685       0.00000000     0.00000000     0.00000000     -0.00000000    0.00000000
7.89999676       0.00000000     0.00000000     0.00000000     -0.00000000    0.00000000
7.99999666       0.00000000     0.00000000     0.00000000     -0.00000000    0.00000000
8.09999657       0.00000000     0.00000000     0.00000000     -0.00000000    0.00000000
8.19999695       0.00000000     0.00000000     0.00000000     -0.00000000    0.00000000
8.29999733       0.00000000     0.00000000     0.00000000     -0.00000000    0.00000000
8.39999771       0.00000000     0.00000000     0.00000000     -0.00000000    0.00000000
8.49999809       0.00000000     0.00000000     0.00000000     -0.00000000    0.00000000
8.59999847       0.00000000     0.00000000     0.00000000     -0.00000000    0.00000000
8.69999886       0.00000000     0.00000000     0.00000000     -0.00000000    0.00000000
8.79999924       0.00000000     0.00000000     0.00000000     -0.00000000    0.00000000
8.89999962       0.00000000     0.00000000     0.00000000     -0.00000000    0.00000000
9.00000000       0.00000000     0.00000000     0.00000000     -0.00000000    0.00000000
9.10000038       0.00000000     0.00000000     0.00000000     -0.00000000    0.00000000
9.20000076       -0.00000000    0.00000000     0.00000000     -0.00000000    0.00000000
9.30000114       0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
9.40000153       0.00000000     -0.00000000    0.00000000     0.00000000     0.00000000
9.50000191       0.00000000     -0.00000000    0.00000000     0.00000000     0.00000000
9.60000229       0.00000000     -0.00000000    0.00000000     0.00000000     0.00000000
9.70000267       -0.00000000    -0.00000000    0.00000000     0.00000000     0.00000000
9.80000305       0.00000000     -0.00000000    -0.00000000    0.00000000     0.00000000
9.90000343       0.00000000     0.00000000     -0.00000000    -0.00000000    -0.00000000
10.0000038       -0.00000000    -0.00000000    -0.00000000    -0.00000000    0.00000000
